Дата,Область,Місто,Значення 1,Значення 2,Значення 3,Значення 4,Значення 5,Значення 6,Значення 7,Значення 8,Значення 9,Значення 10,long,lat
22.06.2024,Львівська,Стрий,2,2,0,0,0,0,0,1,0,0,"23,8431343","49,2656076"
22.06.2024,Волинська,Луцьк,2,2,0,0,0,0,0,0,4,0,"25,3299206","50,7518548"
22.06.2024,Івано-Франківська,Івано-Франківськ,2,2,0,0,0,0,0,0,6,0,"24,7089157","48,9200616"
22.06.2024,Харківська,Харків,4,0,0,0,4,3,56,1,40,2,"36,3073994","50,0020127"
22.06.2024,Запорізька,Запоріжжя,1,0,1,0,0,1,1,1,0,0,"35,1387097","47,8392842"
23.06.2024,Харківська,Харків,5,0,2,0,3,0,0,0,0,0,"36,3073994","50,0020127"
23.06.2024,Донецька,Селідове,2,0,0,0,2,0,5,0,30,0,"37,297136","48,1475145"
24.06.2024,Харківська,Харків,0,0,0,0,0,0,0,0,0,0,"36,3073994","50,0020127"
20.01.2024,Донецька,Покровськ,3,0,3,0,0,0,2,0,58,0,"37,1847804","48,282193"
24.06.2024,Одеська,Одеса,2,0,2,0,0,0,5,0,1,0,"30,7306393","46,4702111"
25.06.2024,Харківська,Харків,3,0,0,0,3,0,0,1,10,0,"36,3073994","50,0020127"
25.06.2024,Харківська,Куп'янськ,10,0,0,0,10,0,0,0,10,0,"37,6027997","49,7055574"
25.06.2024,Харківська,Вовчанськ,10,0,0,0,10,0,0,0,0,0,"36,9329429","50,284234"
25.06.2024,Одеська,Білгород-Дністровський,1,1,0,0,0,0,0,0,0,1,"30,3414908","46,1854516"
25.06.2024,Миколаївська,Вознесенськ,1,1,0,0,0,0,0,0,5,0,"31,336117","47,5605"
26.06.2024,Херсонська,Берислав,2,1,0,1,0,1,15,1,19,0,"33,4273644","46,8433183"
26.06.2024,Харківська,Дергачі,3,0,0,0,3,0,9,1,1,0,"36,1155026","50,1097212"
27.06.2024,Хмельницька,Старокостянтинів,1,1,0,0,0,0,0,0,0,1,"27,2121595","49,7546828"
27.06.2024,Харківська,Харків,3,0,0,0,3,0,0,0,0,2,"36,3073994","50,0020127"
28.06.2024,Харківська,Харків,4,0,0,0,4,0,8,0,4,1,"36,3073994","50,0020127"
28.06.2024,Дніпропетровська,Дніпро,1,1,0,0,0,3,12,0,12,0,"35,046183","48,464717"
28.06.2024,Донецька,Селідове,1,0,0,0,1,0,6,0,16,0,"37,297136","48,1475145"
28.06.2024,Одеська,Одеса,1,0,1,0,0,0,0,0,2,0,"30,7306393","46,4702111"
29.06.2024,Харківська,Дергачі,4,0,0,0,4,0,3,0,15,0,"36,1155026","50,1097212"
29.06.2024,Харківська,Куп'янськ,2,0,0,0,2,0,1,0,2,0,"37,6027997","49,7055574"
29.06.2024,Запорізька,Вільнянськ,1,1,0,0,0,7,38,0,4,0,"35,4328125","47,9403226"
30.06.2024,Київська,Київ,1,1,0,0,0,0,2,0,1,0,"30,5245025","50,4503596"
30.06.2024,Харківська,Харків,2,0,0,0,2,1,10,0,3,1,"36,3073994","50,0020127"
01.07.2024,Полтавська,Миргород,2,0,2,0,0,0,0,0,0,1,"33,6053331","49,9627279"
01.07.2024,Харківська,Дергачі,2,0,0,0,2,0,0,0,1,0,"36,1155026","50,1097212"
01.07.2024,Харківська,Харків,2,0,0,0,2,0,0,0,2,0,"36,3073994","50,0020127"
01.07.2024,Миколаївська,Миколаїв,1,1,0,0,0,0,0,0,3,0,"32,003246","46,9660801"
01.07.2024,Херсонська,Берислав,2,0,0,0,2,0,3,0,7,0,"33,4273644","46,8433183"
01.07.2024,Дніпропетровська,Дніпро,1,1,0,0,0,0,7,0,102,0,"35,046183","48,464717"
02.07.2024,Харківська,Харків,3,0,0,0,3,0,3,0,4,0,"36,3073994","50,0020127"
